topic,count,proportion,citations
Quantum Computing,699,0.877038895859473,22725
Machine Learning,19,0.02383939774153074,64
Search Algorithm,13,0.01631116687578419,173
Classification,8,0.010037641154328732,177
BD & Cloud Solutions,6,0.0075282308657465494,178
Markov,6,0.0075282308657465494,148
Monte Carlo,5,0.006273525721455458,117
3D Print,5,0.006273525721455458,21
Database,4,0.005018820577164366,453
Reinforcement Learning,4,0.005018820577164366,8
Pattern Recognition,3,0.0037641154328732747,46
Back-propagation,3,0.0037641154328732747,58
Information Retrieval,3,0.0037641154328732747,119
Supercomputers,2,0.002509410288582183,36
Neuromorphic Computing,2,0.002509410288582183,12
Bayesian Inference,1,0.0012547051442910915,1
RNN,1,0.0012547051442910915,17
Optimization Algorithm,1,0.0012547051442910915,43
Dynamic Programming,1,0.0012547051442910915,17
Statistical Learning,1,0.0012547051442910915,23
Cluster Computing,1,0.0012547051442910915,38
Genetic Algorithm,1,0.0012547051442910915,23
UGV,1,0.0012547051442910915,2
Optical Computing,1,0.0012547051442910915,4
AI,1,0.0012547051442910915,0
Regression,1,0.0012547051442910915,2
Robotics,1,0.0012547051442910915,0
Image Recognition,1,0.0012547051442910915,0
Object Recognition,1,0.0012547051442910915,2
Data Storage,1,0.0012547051442910915,32
