topic,count,proportion,citations
Robots,685,0.4391025641025641,32171
Robotics,305,0.1955128205128205,13941
Manipulator,182,0.11666666666666667,5789
Mobile Robots,138,0.08846153846153847,8932
Humanoid Robots,56,0.035897435897435895,2918
UAM,33,0.021153846153846155,2307
Computer Vision,19,0.01217948717948718,1230
Classification,19,0.01217948717948718,1502
Pose Estimation,16,0.010256410256410256,1107
AUV,13,0.008333333333333333,313
Machine Learning,12,0.007692307692307693,280
Reinforcement Learning,8,0.005128205128205128,109
Database,8,0.005128205128205128,337
Monte Carlo,7,0.004487179487179487,446
UGV,7,0.004487179487179487,1410
Regression,6,0.0038461538461538464,198
Object Recognition,6,0.0038461538461538464,370
SVM,5,0.003205128205128205,217
AI,4,0.002564102564102564,74
Feature Extraction,4,0.002564102564102564,469
Bayesian Inference,2,0.001282051282051282,138
Search Algorithm,2,0.001282051282051282,117
Distributed Computing,2,0.001282051282051282,71
Pattern Recognition,2,0.001282051282051282,263
Supervised Learning,2,0.001282051282051282,45
Image Segmentation,2,0.001282051282051282,94
Dynamic Programming,1,0.000641025641025641,4
Markov,1,0.000641025641025641,54
RNN,1,0.000641025641025641,4
Transfer Learning,1,0.000641025641025641,0
Image Recognition,1,0.000641025641025641,0
Unsupervised Learning,1,0.000641025641025641,18
Deep Learning,1,0.000641025641025641,185
Dimensionality Reduction,1,0.000641025641025641,6
Trees,1,0.000641025641025641,12
Clustering,1,0.000641025641025641,81
Image Classification,1,0.000641025641025641,201
Statistical Learning,1,0.000641025641025641,118
Voice Recognition,1,0.000641025641025641,64
Optimization Algorithm,1,0.000641025641025641,1216
Convolutional Networks,1,0.000641025641025641,49
