topic,count,proportion,citations
Classification,185,0.15638207945900254,6773
Machine Learning,180,0.1521555367709214,3908
Database,126,0.10650887573964497,3365
SVM,75,0.06339814032121724,2629
Data Mining,63,0.05325443786982249,1370
Clustering,54,0.04564666103127642,1196
Trees,53,0.044801352493660185,3145
Regression,39,0.03296703296703297,1185
Big Data,37,0.03127641589180051,613
NLP,32,0.027049873203719356,454
Feature Extraction,24,0.02028740490278952,323
Information Retrieval,21,0.01775147928994083,360
BD & Cloud Solutions,21,0.01775147928994083,237
Deep Learning,20,0.0169061707523246,153
Pattern Recognition,19,0.016060862214708368,450
Supervised Learning,17,0.014370245139475908,1123
Convolutional Networks,13,0.01098901098901099,64
Statistical Learning,12,0.01014370245139476,487
High Performance Computing,12,0.01014370245139476,116
Genetic Algorithm,11,0.009298393913778529,149
Image Segmentation,9,0.0076077768385460695,89
Clouds,9,0.0076077768385460695,103
Knowledge Representation,9,0.0076077768385460695,80
RDBMS & SQL,8,0.006762468300929839,202
RNN,7,0.005917159763313609,4
AI,7,0.005917159763313609,103
Distributed Computing,6,0.00507185122569738,50
GPU,6,0.00507185122569738,267
Unsupervised Learning,6,0.00507185122569738,327
Markov,6,0.00507185122569738,89
Entity Recognition,6,0.00507185122569738,67
Expert System,5,0.00422654268808115,95
Dimensionality Reduction,5,0.00422654268808115,331
Multi-layer perceptron,5,0.00422654268808115,33
Semi Supervised Learning,4,0.0033812341504649195,30
Monte Carlo,4,0.0033812341504649195,48
Data Storage,4,0.0033812341504649195,19
Automated Reasoning,4,0.0033812341504649195,77
Supercomputers,4,0.0033812341504649195,11
Robots,4,0.0033812341504649195,38
Object Recognition,4,0.0033812341504649195,22
Image Classification,3,0.00253592561284869,43
Dynamic Programming,3,0.00253592561284869,341
Robotics,3,0.00253592561284869,109
Parallel Processing,3,0.00253592561284869,21
Text Classification,3,0.00253592561284869,100
Nearest Neighbors,3,0.00253592561284869,134
Machine Translation,2,0.0016906170752324597,48
Grid Computing,2,0.0016906170752324597,15
Data Center,2,0.0016906170752324597,29
Loss Function,2,0.0016906170752324597,14
Computer Vision,2,0.0016906170752324597,5
Back-propagation,2,0.0016906170752324597,34
Search Algorithm,1,0.0008453085376162299,0
Boosting,1,0.0008453085376162299,3
Semantic Search,1,0.0008453085376162299,15
Hardware Acceleration,1,0.0008453085376162299,256
Cyber Infrastructure,1,0.0008453085376162299,3
Meta Learning,1,0.0008453085376162299,11
Distributed File System,1,0.0008453085376162299,30
Data Science,1,0.0008453085376162299,64
Transfer Learning,1,0.0008453085376162299,0
Autoencoder,1,0.0008453085376162299,0
Text Embedding,1,0.0008453085376162299,1
Feature Engineering,1,0.0008453085376162299,10
SaaS,1,0.0008453085376162299,0
NRDBMS & NoSQL,1,0.0008453085376162299,3
Docker,1,0.0008453085376162299,1
Bayesian Inference,1,0.0008453085376162299,1
Manipulator,1,0.0008453085376162299,17
