topic,count,proportion,citations
Classification,191,0.13375350140056022,6828
Machine Learning,114,0.07983193277310924,4808
Data Mining,110,0.07703081232492998,3608
AI,65,0.04551820728291316,1481
SVM,64,0.04481792717086835,1432
Clustering,59,0.04131652661064426,989
Genetic Algorithm,51,0.03571428571428571,1333
Big Data,50,0.0350140056022409,733
Robots,47,0.032913165266106444,534
Information Retrieval,42,0.029411764705882353,898
Clouds,37,0.025910364145658265,955
Database,33,0.023109243697478993,627
Regression,33,0.023109243697478993,724
Pattern Recognition,33,0.023109243697478993,2541
Robotics,32,0.022408963585434174,291
Feature Extraction,30,0.02100840336134454,826
Computer Vision,22,0.015406162464985995,242
Mobile Robots,22,0.015406162464985995,240
Supervised Learning,19,0.01330532212885154,620
BD & Cloud Solutions,18,0.012605042016806723,208
Multi-layer perceptron,18,0.012605042016806723,166
Knowledge Representation,18,0.012605042016806723,1487
Deep Learning,17,0.011904761904761904,159
Data Center,17,0.011904761904761904,303
Object Recognition,13,0.009103641456582634,58
Image Segmentation,12,0.008403361344537815,259
Expert System,11,0.007703081232492998,1363
Voice Recognition,10,0.0070028011204481795,236
Image Classification,10,0.0070028011204481795,204
Text Classification,10,0.0070028011204481795,45
Reinforcement Learning,10,0.0070028011204481795,86
NLP,10,0.0070028011204481795,42
Sentiment Analysis,9,0.0063025210084033615,280
Trees,9,0.0063025210084033615,290
Unsupervised Learning,8,0.0056022408963585435,154
Semi Supervised Learning,8,0.0056022408963585435,112
Dimensionality Reduction,7,0.004901960784313725,460
Loss Function,7,0.004901960784313725,146
Automated Reasoning,7,0.004901960784313725,254
Convolutional Networks,6,0.004201680672268907,1
Data Science,6,0.004201680672268907,75
Quantum Computing,6,0.004201680672268907,44
Meta Learning,6,0.004201680672268907,122
RNN,6,0.004201680672268907,43
Back-propagation,6,0.004201680672268907,129
Optimization Algorithm,5,0.0035014005602240898,148
Distributed Computing,5,0.0035014005602240898,214
UGV,5,0.0035014005602240898,28
Search Algorithm,4,0.0028011204481792717,139
GPU,4,0.0028011204481792717,13
RDBMS & SQL,4,0.0028011204481792717,104
Machine Translation,4,0.0028011204481792717,33
Supercomputers,4,0.0028011204481792717,12
Manipulator,4,0.0028011204481792717,40
Data Storage,4,0.0028011204481792717,60
Cluster Computing,3,0.0021008403361344537,65
High Performance Computing,3,0.0021008403361344537,10
Language Modeling,3,0.0021008403361344537,35
UAM,3,0.0021008403361344537,2
Grid Computing,3,0.0021008403361344537,21
Data Intensive Computing,3,0.0021008403361344537,55
Loss Functions,3,0.0021008403361344537,118
Transfer Learning,2,0.0014005602240896359,1
Edge Computing,2,0.0014005602240896359,8
Generative Adversarial Network,2,0.0014005602240896359,8
Fog Computing,2,0.0014005602240896359,3
Dynamic Cloud,2,0.0014005602240896359,1
Parallel Processing,2,0.0014005602240896359,10
Semantic Search,2,0.0014005602240896359,14
Markov,2,0.0014005602240896359,15
Industry 4 0,2,0.0014005602240896359,0
Boosting,2,0.0014005602240896359,14
Image Recognition,2,0.0014005602240896359,17
IaaS,2,0.0014005602240896359,25
Transformers & Attention,2,0.0014005602240896359,5
Dynamic Programming,2,0.0014005602240896359,17
Nearest Neighbors,2,0.0014005602240896359,16
Humanoid Robots,2,0.0014005602240896359,0
Optical Computing,1,0.0007002801120448179,4
Feature Engineering,1,0.0007002801120448179,21
Neuromorphic Computing,1,0.0007002801120448179,1
Audio Classification,1,0.0007002801120448179,13
Text Similarity,1,0.0007002801120448179,1
Entity Recognition,1,0.0007002801120448179,1
Statistical Learning,1,0.0007002801120448179,44
NRDBMS & NoSQL,1,0.0007002801120448179,2
Gesture Recognition,1,0.0007002801120448179,9
Docker,1,0.0007002801120448179,0
Unmanned Vehicle,1,0.0007002801120448179,26
Autoencoder,1,0.0007002801120448179,137
AUV,1,0.0007002801120448179,0
