topic,count,proportion,citations
Classification,144,0.15254237288135594,8699
Machine Learning,123,0.13029661016949154,4844
Object Recognition,102,0.10805084745762712,5303
SVM,87,0.09216101694915255,4101
Convolutional Networks,45,0.04766949152542373,369
Regression,42,0.04449152542372881,1659
Deep Learning,34,0.036016949152542374,532
Reinforcement Learning,33,0.034957627118644065,1181
Pattern Recognition,30,0.03177966101694915,2711
Image Segmentation,28,0.029661016949152543,2354
Voice Recognition,27,0.028601694915254237,733
Trees,24,0.025423728813559324,691
Feature Extraction,21,0.022245762711864406,1210
Database,20,0.0211864406779661,1712
Statistical Learning,15,0.015889830508474576,667
Clustering,14,0.014830508474576272,549
Bayesian Inference,14,0.014830508474576272,452
Big Data,12,0.012711864406779662,385
Robots,12,0.012711864406779662,762
Robotics,10,0.01059322033898305,674
Supervised Learning,10,0.01059322033898305,210
Dimensionality Reduction,9,0.009533898305084746,222
AI,7,0.007415254237288136,265
Unsupervised Learning,7,0.007415254237288136,322
Parallel Processing,7,0.007415254237288136,338
Data Mining,7,0.007415254237288136,337
High Performance Computing,5,0.005296610169491525,401
Face Detection,5,0.005296610169491525,452
Information Retrieval,4,0.00423728813559322,174
Computer Vision,4,0.00423728813559322,52
Markov,4,0.00423728813559322,65
3D Print,4,0.00423728813559322,72
Multi-layer perceptron,3,0.0031779661016949155,101
Monte Carlo,3,0.0031779661016949155,30
Semi Supervised Learning,2,0.00211864406779661,173
Transformers & Attention,2,0.00211864406779661,142
Optimization Algorithm,2,0.00211864406779661,62
Image Classification,2,0.00211864406779661,72
Transfer Learning,2,0.00211864406779661,0
RNN,2,0.00211864406779661,0
Auto Encoder,1,0.001059322033898305,3
Generative Adversarial Network,1,0.001059322033898305,28
Image Recognition,1,0.001059322033898305,1
Semantic Search,1,0.001059322033898305,80
Knowledge Representation,1,0.001059322033898305,43
RDBMS & SQL,1,0.001059322033898305,18
Feature Engineering,1,0.001059322033898305,8
Gesture Recognition,1,0.001059322033898305,5
NLP,1,0.001059322033898305,0
Nearest Neighbors,1,0.001059322033898305,0
Ensemble Modeling,1,0.001059322033898305,11
Fully Connected Layer,1,0.001059322033898305,57
Encoder Decoder,1,0.001059322033898305,67
Boltzmann Machine,1,0.001059322033898305,60
Search Algorithm,1,0.001059322033898305,10
Data Center,1,0.001059322033898305,127
