topic,count,proportion,citations
AI,428,0.34910277324632955,7797
Classification,96,0.07830342577487764,1592
Machine Learning,68,0.05546492659053834,918
Robots,51,0.041598694942903754,679
SVM,45,0.0367047308319739,560
Robotics,36,0.02936378466557912,522
Data Mining,34,0.02773246329526917,545
Regression,34,0.02773246329526917,619
Genetic Algorithm,32,0.026101141924959218,879
Pattern Recognition,29,0.02365415986949429,663
Multi-layer perceptron,28,0.022838499184339316,498
Expert System,25,0.020391517128874388,517
Clustering,24,0.01957585644371941,557
Reinforcement Learning,21,0.017128874388254486,175
Feature Extraction,19,0.015497553017944535,292
Mobile Robots,18,0.01468189233278956,276
Database,17,0.013866231647634585,263
RNN,14,0.011419249592169658,128
Knowledge Representation,13,0.010603588907014683,247
Computer Vision,12,0.009787928221859706,132
Back-propagation,11,0.00897226753670473,333
NLP,11,0.00897226753670473,26
Deep Learning,11,0.00897226753670473,30
Supervised Learning,9,0.00734094616639478,97
Information Retrieval,9,0.00734094616639478,127
Dimensionality Reduction,9,0.00734094616639478,163
Manipulator,8,0.0065252854812398045,60
Unsupervised Learning,7,0.005709624796084829,213
Image Segmentation,7,0.005709624796084829,347
Trees,6,0.004893964110929853,34
Search Algorithm,6,0.004893964110929853,288
Convolutional Networks,6,0.004893964110929853,38
Markov,6,0.004893964110929853,26
UGV,5,0.004078303425774877,84
UAM,5,0.004078303425774877,28
Big Data,4,0.0032626427406199023,18
Object Recognition,4,0.0032626427406199023,29
Gesture Recognition,4,0.0032626427406199023,157
Image Classification,4,0.0032626427406199023,42
Industry 4 0,4,0.0032626427406199023,9
Nearest Neighbors,3,0.0024469820554649264,36
Boltzmann Machine,3,0.0024469820554649264,26
Optimization Algorithm,2,0.0016313213703099511,14
Supercomputers,2,0.0016313213703099511,0
Sentiment Analysis,2,0.0016313213703099511,34
Language Modeling,2,0.0016313213703099511,0
Image Recognition,2,0.0016313213703099511,40
Pose Estimation,2,0.0016313213703099511,20
BD & Cloud Solutions,2,0.0016313213703099511,36
Monte Carlo,2,0.0016313213703099511,41
RDBMS & SQL,2,0.0016313213703099511,23
Voice Recognition,2,0.0016313213703099511,14
Statistical Learning,2,0.0016313213703099511,3
Meta Learning,1,0.0008156606851549756,10
High Performance Computing,1,0.0008156606851549756,0
Text Similarity,1,0.0008156606851549756,2
Automated Reasoning,1,0.0008156606851549756,15
Audio Classification,1,0.0008156606851549756,22
Fog Computing,1,0.0008156606851549756,0
Edge Computing,1,0.0008156606851549756,0
Autoencoder,1,0.0008156606851549756,0
Parallel Processing,1,0.0008156606851549756,6
Entity Recognition,1,0.0008156606851549756,1
Distributed Computing,1,0.0008156606851549756,9
Encoder Decoder,1,0.0008156606851549756,0
Semi Supervised Learning,1,0.0008156606851549756,2
Feature Engineering,1,0.0008156606851549756,6
Clouds,1,0.0008156606851549756,21
AUV,1,0.0008156606851549756,28
Cluster Computing,1,0.0008156606851549756,7
Semantic Search,1,0.0008156606851549756,0
