topic,count,proportion,citations
AI,392,0.3288590604026846,19970
Computer Vision,129,0.10822147651006711,13530
Object Recognition,90,0.07550335570469799,8074
Classification,84,0.07046979865771812,2755
Image Segmentation,55,0.04614093959731544,1711
Convolutional Networks,55,0.04614093959731544,205
Pose Estimation,34,0.028523489932885907,3032
Database,29,0.024328859060402684,942
Feature Extraction,27,0.022651006711409395,1189
Pattern Recognition,26,0.02181208053691275,1535
Deep Learning,25,0.02097315436241611,199
Robots,23,0.01929530201342282,485
Robotics,21,0.01761744966442953,855
Clustering,17,0.014261744966442953,205
SVM,17,0.014261744966442953,351
Image Classification,15,0.012583892617449664,282
Gesture Recognition,13,0.010906040268456376,582
Supervised Learning,11,0.009228187919463088,68
Machine Learning,10,0.008389261744966443,114
Generative Adversarial Network,9,0.007550335570469799,1
Unsupervised Learning,8,0.006711409395973154,102
Dimensionality Reduction,7,0.00587248322147651,553
Mobile Robots,7,0.00587248322147651,118
Face Detection,6,0.0050335570469798654,673
Semi Supervised Learning,6,0.0050335570469798654,31
Regression,6,0.0050335570469798654,57
RNN,5,0.0041946308724832215,39
Monte Carlo,5,0.0041946308724832215,37
Transfer Learning,5,0.0041946308724832215,32
Optimization Algorithm,5,0.0041946308724832215,220
Voice Recognition,4,0.003355704697986577,472
Information Retrieval,4,0.003355704697986577,50
UAM,3,0.0025167785234899327,46
Bayesian Inference,3,0.0025167785234899327,15
Transformers & Attention,3,0.0025167785234899327,14
Trees,3,0.0025167785234899327,12
Loss Function,2,0.0016778523489932886,2
Statistical Learning,2,0.0016778523489932886,38
Loss Functions,2,0.0016778523489932886,1
Multi-layer perceptron,2,0.0016778523489932886,4
UGV,2,0.0016778523489932886,1
Markov,2,0.0016778523489932886,12
Kernel Machine,2,0.0016778523489932886,3
Image Recognition,2,0.0016778523489932886,17
Knowledge Representation,2,0.0016778523489932886,26
Genetic Algorithm,2,0.0016778523489932886,202
AUV,1,0.0008389261744966443,102
Encoder Decoder,1,0.0008389261744966443,0
Nearest Neighbors,1,0.0008389261744966443,13
Parallel Processing,1,0.0008389261744966443,13
NLP,1,0.0008389261744966443,0
Language Modeling,1,0.0008389261744966443,0
Big Data,1,0.0008389261744966443,5
Back-propagation,1,0.0008389261744966443,12
RDBMS & SQL,1,0.0008389261744966443,16
Supercomputers,1,0.0008389261744966443,6
