topic,count,proportion,citations
AI,394,0.2996197718631179,6132
Classification,124,0.09429657794676806,2269
Machine Learning,88,0.06692015209125475,1194
Genetic Algorithm,85,0.06463878326996197,1504
SVM,78,0.05931558935361217,1066
Data Mining,46,0.0349809885931559,692
Regression,44,0.033460076045627375,673
Clustering,39,0.029657794676806085,582
Robots,30,0.022813688212927757,524
Multi-layer perceptron,25,0.019011406844106463,269
Feature Extraction,25,0.019011406844106463,419
Deep Learning,21,0.01596958174904943,138
Pattern Recognition,20,0.015209125475285171,370
Robotics,18,0.013688212927756654,226
Computer Vision,15,0.011406844106463879,184
Convolutional Networks,15,0.011406844106463879,70
Big Data,13,0.00988593155893536,31
Dimensionality Reduction,13,0.00988593155893536,84
Database,13,0.00988593155893536,139
Back-propagation,13,0.00988593155893536,211
Image Segmentation,12,0.009125475285171103,382
Trees,11,0.008365019011406844,146
Mobile Robots,11,0.008365019011406844,165
RNN,9,0.006844106463878327,10
Reinforcement Learning,9,0.006844106463878327,41
Search Algorithm,8,0.006083650190114068,133
Knowledge Representation,7,0.00532319391634981,150
Clouds,7,0.00532319391634981,19
Object Recognition,6,0.0045627376425855515,64
Supervised Learning,5,0.0038022813688212928,53
Nearest Neighbors,5,0.0038022813688212928,57
Expert System,5,0.0038022813688212928,160
UAM,5,0.0038022813688212928,109
Image Classification,5,0.0038022813688212928,161
NLP,5,0.0038022813688212928,13
Information Retrieval,5,0.0038022813688212928,32
Monte Carlo,5,0.0038022813688212928,55
AUV,5,0.0038022813688212928,50
Manipulator,4,0.003041825095057034,78
Optimization Algorithm,4,0.003041825095057034,88
Ensemble Modeling,4,0.003041825095057034,17
BD & Cloud Solutions,4,0.003041825095057034,5
Text Classification,3,0.0022813688212927757,44
Parallel Processing,3,0.0022813688212927757,6
Feature Engineering,3,0.0022813688212927757,44
Autoencoder,3,0.0022813688212927757,20
Data Center,3,0.0022813688212927757,42
Quantum Computing,3,0.0022813688212927757,15
Unsupervised Learning,3,0.0022813688212927757,36
Distributed Computing,3,0.0022813688212927757,59
Semi Supervised Learning,2,0.001520912547528517,9
Markov,2,0.001520912547528517,17
Supercomputers,2,0.001520912547528517,12
Pose Estimation,2,0.001520912547528517,49
Image Recognition,2,0.001520912547528517,10
Semantic Search,2,0.001520912547528517,19
Generative Adversarial Network,2,0.001520912547528517,0
Machine Translation,2,0.001520912547528517,1
Voice Recognition,2,0.001520912547528517,5
GPU,1,0.0007604562737642585,2
Sentiment Analysis,1,0.0007604562737642585,8
AWS,1,0.0007604562737642585,3
Dynamic Programming,1,0.0007604562737642585,14
Transformers & Attention,1,0.0007604562737642585,3
Loss Function,1,0.0007604562737642585,25
Loss Functions,1,0.0007604562737642585,22
High Performance Computing,1,0.0007604562737642585,0
Kernel Machine,1,0.0007604562737642585,1
Gesture Recognition,1,0.0007604562737642585,14
UGV,1,0.0007604562737642585,9
Auto Encoder,1,0.0007604562737642585,19
Unmanned Vehicle,1,0.0007604562737642585,62
