topic,count,proportion,citations
Machine Learning,104,0.09990393852065321,301
Classification,87,0.08357348703170028,445
Convolutional Networks,79,0.07588856868395773,80
Deep Learning,73,0.07012487992315082,129
Robots,61,0.05859750240153699,160
SVM,45,0.043227665706051875,142
Robotics,41,0.0393852065321806,57
AI,35,0.03362151777137368,61
3D Print,31,0.029779058597502402,58
Database,27,0.025936599423631124,97
Feature Extraction,26,0.024975984630163303,146
RNN,24,0.023054755043227664,23
Regression,23,0.022094140249759846,58
Data Center,20,0.01921229586935639,45
Multi-layer perceptron,20,0.01921229586935639,10
UAM,20,0.01921229586935639,19
Computer Vision,19,0.01825168107588857,35
Big Data,18,0.01729106628242075,32
Pattern Recognition,17,0.01633045148895293,214
Trees,17,0.01633045148895293,47
Data Mining,16,0.01536983669548511,49
Clustering,16,0.01536983669548511,28
Industry 4 0,15,0.01440922190201729,22
Image Classification,13,0.012487992315081652,54
Genetic Algorithm,12,0.011527377521613832,40
Clouds,12,0.011527377521613832,21
Mobile Robots,9,0.008645533141210375,26
Object Recognition,8,0.007684918347742555,20
Information Retrieval,8,0.007684918347742555,14
Image Segmentation,8,0.007684918347742555,14
Edge Computing,7,0.0067243035542747355,10
Voice Recognition,7,0.0067243035542747355,74
Reinforcement Learning,7,0.0067243035542747355,11
UGV,7,0.0067243035542747355,5
Manipulator,6,0.005763688760806916,23
NLP,5,0.004803073967339097,2
Back-propagation,5,0.004803073967339097,5
Autoencoder,5,0.004803073967339097,5
Transfer Learning,5,0.004803073967339097,12
Image Recognition,5,0.004803073967339097,12
Generative Adversarial Network,5,0.004803073967339097,5
Gesture Recognition,4,0.0038424591738712775,7
BD & Cloud Solutions,4,0.0038424591738712775,3
Sentiment Analysis,4,0.0038424591738712775,3
Fog Computing,4,0.0038424591738712775,11
Ensemble Modeling,3,0.002881844380403458,8
Face Detection,3,0.002881844380403458,0
Expert System,3,0.002881844380403458,0
Optimization Algorithm,3,0.002881844380403458,1
Humanoid Robots,3,0.002881844380403458,5
Unsupervised Learning,3,0.002881844380403458,2
Dimensionality Reduction,3,0.002881844380403458,18
Supervised Learning,3,0.002881844380403458,2
Monte Carlo,2,0.0019212295869356388,4
Semi Supervised Learning,2,0.0019212295869356388,2
Auto Encoder,2,0.0019212295869356388,0
AUV,2,0.0019212295869356388,7
Dynamic Programming,2,0.0019212295869356388,3
Markov,2,0.0019212295869356388,3
Data Science,2,0.0019212295869356388,1
Feature Engineering,2,0.0019212295869356388,0
Pose Estimation,1,0.0009606147934678194,0
Loss Function,1,0.0009606147934678194,0
Knowledge Representation,1,0.0009606147934678194,0
Data Storage,1,0.0009606147934678194,3
Distributed Computing,1,0.0009606147934678194,2
Entity Recognition,1,0.0009606147934678194,0
Boosting,1,0.0009606147934678194,0
Language Modeling,1,0.0009606147934678194,0
Topic Modeling,1,0.0009606147934678194,0
GPU,1,0.0009606147934678194,5
Search Algorithm,1,0.0009606147934678194,2
Text Embedding,1,0.0009606147934678194,0
Encoder Decoder,1,0.0009606147934678194,0
Statistical Learning,1,0.0009606147934678194,1
Fully Connected Layer,1,0.0009606147934678194,0
Nearest Neighbors,1,0.0009606147934678194,2
Quantum Computing,1,0.0009606147934678194,3
