topic,count,proportion,citations
Classification,95,0.11473429951690821,713
Computer Vision,62,0.0748792270531401,596
Information Retrieval,53,0.0640096618357488,300
Database,51,0.06159420289855073,422
SVM,45,0.05434782608695652,232
Feature Extraction,43,0.051932367149758456,286
Deep Learning,43,0.051932367149758456,116
Convolutional Networks,40,0.04830917874396135,55
Object Recognition,39,0.04710144927536232,185
Machine Learning,33,0.03985507246376811,278
Clouds,21,0.025362318840579712,101
Clustering,18,0.021739130434782608,98
Big Data,16,0.01932367149758454,41
Gesture Recognition,14,0.016908212560386472,117
Image Classification,13,0.01570048309178744,90
Pattern Recognition,13,0.01570048309178744,145
Data Mining,12,0.014492753623188406,99
Voice Recognition,12,0.014492753623188406,54
Regression,11,0.013285024154589372,37
Robots,11,0.013285024154589372,42
Face Detection,10,0.012077294685990338,37
Dimensionality Reduction,10,0.012077294685990338,210
Supervised Learning,9,0.010869565217391304,88
Multi-layer perceptron,9,0.010869565217391304,37
Knowledge Representation,9,0.010869565217391304,49
Pose Estimation,9,0.010869565217391304,48
RNN,9,0.010869565217391304,17
Image Segmentation,8,0.00966183574879227,86
AI,8,0.00966183574879227,100
Language Modeling,8,0.00966183574879227,34
Sentiment Analysis,7,0.008454106280193236,55
Trees,7,0.008454106280193236,70
NLP,6,0.007246376811594203,59
Robotics,6,0.007246376811594203,11
Transfer Learning,5,0.006038647342995169,6
Image Recognition,5,0.006038647342995169,30
BD & Cloud Solutions,4,0.004830917874396135,10
Semi Supervised Learning,4,0.004830917874396135,25
High Performance Computing,3,0.0036231884057971015,13
Genetic Algorithm,3,0.0036231884057971015,7
Expert System,3,0.0036231884057971015,18
Unsupervised Learning,3,0.0036231884057971015,34
Semantic Search,3,0.0036231884057971015,41
Fog Computing,2,0.0024154589371980675,5
Edge Computing,2,0.0024154589371980675,0
Distributed Computing,2,0.0024154589371980675,8
Text Embedding,2,0.0024154589371980675,2
Mobile Robots,2,0.0024154589371980675,3
UAM,2,0.0024154589371980675,1
Automated Reasoning,1,0.0012077294685990338,0
Reinforcement Learning,1,0.0012077294685990338,1
Back-propagation,1,0.0012077294685990338,32
Transformers & Attention,1,0.0012077294685990338,0
Encoder Decoder,1,0.0012077294685990338,0
Audio Classification,1,0.0012077294685990338,11
Nearest Neighbors,1,0.0012077294685990338,3
Text To Image,1,0.0012077294685990338,0
Fully Connected Layer,1,0.0012077294685990338,1
Dynamic Programming,1,0.0012077294685990338,0
Statistical Learning,1,0.0012077294685990338,6
Kernel Machine,1,0.0012077294685990338,0
Loss Function,1,0.0012077294685990338,1
Boosting,1,0.0012077294685990338,0
Monte Carlo,1,0.0012077294685990338,3
Grid Computing,1,0.0012077294685990338,2
3D Print,1,0.0012077294685990338,6
Data Storage,1,0.0012077294685990338,11
Text Classification,1,0.0012077294685990338,5
Boltzmann Machine,1,0.0012077294685990338,0
GPU,1,0.0012077294685990338,0
Auto Encoder,1,0.0012077294685990338,0
Image To Text,1,0.0012077294685990338,0
