topic,count,proportion,citations
Quantum Computing,351,0.7452229299363057,28108
Machine Learning,25,0.05307855626326964,1269
Monte Carlo,11,0.02335456475583864,871
Classification,6,0.012738853503184714,176
Pattern Recognition,6,0.012738853503184714,288
Deep Learning,6,0.012738853503184714,23
3D Print,5,0.010615711252653927,20
Supercomputers,5,0.010615711252653927,625
Search Algorithm,4,0.008492569002123142,261
Information Retrieval,4,0.008492569002123142,479
Optimization Algorithm,3,0.006369426751592357,101
Bayesian Inference,3,0.006369426751592357,248
AI,3,0.006369426751592357,51
Database,3,0.006369426751592357,242
Back-propagation,3,0.006369426751592357,97
Parallel Processing,2,0.004246284501061571,39
Manipulator,2,0.004246284501061571,60
Cluster Computing,2,0.004246284501061571,27
Convolutional Networks,2,0.004246284501061571,1
Regression,2,0.004246284501061571,574
Data Mining,2,0.004246284501061571,57
Supervised Learning,2,0.004246284501061571,11
Statistical Learning,2,0.004246284501061571,279
Reinforcement Learning,2,0.004246284501061571,65
Computer Vision,1,0.0021231422505307855,23
Voice Recognition,1,0.0021231422505307855,4
Robots,1,0.0021231422505307855,37
UAM,1,0.0021231422505307855,39
High Performance Computing,1,0.0021231422505307855,68
Unsupervised Learning,1,0.0021231422505307855,47
Big Data,1,0.0021231422505307855,56
Neuromorphic Computing,1,0.0021231422505307855,108
Genetic Algorithm,1,0.0021231422505307855,28
Object Recognition,1,0.0021231422505307855,21
Dimensionality Reduction,1,0.0021231422505307855,189
Multi-layer perceptron,1,0.0021231422505307855,3
Clustering,1,0.0021231422505307855,46
Markov,1,0.0021231422505307855,6
Robotics,1,0.0021231422505307855,29
