topic,count,proportion,citations
Robots,385,0.3819444444444444,2438
Robotics,212,0.21031746031746032,1387
Mobile Robots,92,0.09126984126984126,889
Manipulator,53,0.05257936507936508,352
UAM,37,0.03670634920634921,96
Humanoid Robots,31,0.030753968253968252,105
AUV,22,0.021825396825396824,147
Classification,22,0.021825396825396824,136
Computer Vision,12,0.011904761904761904,83
Genetic Algorithm,11,0.010912698412698412,150
UGV,11,0.010912698412698412,63
SVM,9,0.008928571428571428,37
Database,8,0.007936507936507936,50
Gesture Recognition,8,0.007936507936507936,68
Language Modeling,7,0.006944444444444444,13
Object Recognition,7,0.006944444444444444,71
Pose Estimation,7,0.006944444444444444,70
AI,6,0.005952380952380952,33
Voice Recognition,5,0.00496031746031746,19
Reinforcement Learning,5,0.00496031746031746,24
Feature Extraction,4,0.003968253968253968,55
Dimensionality Reduction,4,0.003968253968253968,28
Machine Learning,4,0.003968253968253968,22
Search Algorithm,4,0.003968253968253968,14
Clustering,3,0.002976190476190476,33
Multi-layer perceptron,3,0.002976190476190476,2
Unmanned Vehicle,3,0.002976190476190476,15
Supervised Learning,2,0.001984126984126984,6
3D Print,2,0.001984126984126984,0
Monte Carlo,2,0.001984126984126984,3
Convolutional Networks,2,0.001984126984126984,0
Industry 4 0,2,0.001984126984126984,9
Chatbot,2,0.001984126984126984,7
Deep Learning,2,0.001984126984126984,2
Nearest Neighbors,2,0.001984126984126984,8
Image Segmentation,2,0.001984126984126984,19
Dynamic Programming,2,0.001984126984126984,5
Transformers & Attention,1,0.000992063492063492,3
Optimization Algorithm,1,0.000992063492063492,2
Pattern Recognition,1,0.000992063492063492,1
Image Recognition,1,0.000992063492063492,7
Image Classification,1,0.000992063492063492,15
RNN,1,0.000992063492063492,1
Self Supervised Learning,1,0.000992063492063492,5
Regression,1,0.000992063492063492,8
BD & Cloud Solutions,1,0.000992063492063492,0
Back-propagation,1,0.000992063492063492,0
Statistical Learning,1,0.000992063492063492,4
Data Mining,1,0.000992063492063492,8
Face Detection,1,0.000992063492063492,6
