topic,count,proportion,citations
Classification,116,0.13925570228091236,2550
Computer Vision,79,0.09483793517406963,1840
Machine Learning,53,0.06362545018007203,606
Regression,50,0.060024009603841535,1156
Convolutional Networks,49,0.058823529411764705,282
Robotics,47,0.056422569027611044,555
Robots,44,0.05282112845138055,914
SVM,38,0.04561824729891957,626
UAM,31,0.03721488595438175,452
Deep Learning,26,0.031212484993997598,280
Multi-layer perceptron,22,0.026410564225690276,429
AI,21,0.025210084033613446,272
Trees,20,0.024009603841536616,127
Expert System,20,0.024009603841536616,235
Feature Extraction,16,0.01920768307322929,305
Image Segmentation,16,0.01920768307322929,528
Database,15,0.01800720288115246,249
Clustering,14,0.01680672268907563,422
Pattern Recognition,14,0.01680672268907563,269
Dimensionality Reduction,13,0.015606242496998799,240
Genetic Algorithm,11,0.013205282112845138,86
Back-propagation,10,0.012004801920768308,178
Data Mining,10,0.012004801920768308,100
Big Data,7,0.008403361344537815,74
Mobile Robots,7,0.008403361344537815,67
RNN,7,0.008403361344537815,156
Object Recognition,6,0.007202881152460984,182
Image Classification,5,0.006002400960384154,126
Manipulator,5,0.006002400960384154,146
UGV,5,0.006002400960384154,83
Image Recognition,4,0.004801920768307323,11
Clouds,4,0.004801920768307323,10
Transfer Learning,4,0.004801920768307323,8
Monte Carlo,3,0.003601440576230492,21
BD & Cloud Solutions,3,0.003601440576230492,70
Supervised Learning,3,0.003601440576230492,21
Industry 4 0,2,0.0024009603841536613,3
NLP,2,0.0024009603841536613,0
Information Retrieval,2,0.0024009603841536613,1
Supercomputers,2,0.0024009603841536613,2
Feature Engineering,2,0.0024009603841536613,0
High Performance Computing,2,0.0024009603841536613,23
Nearest Neighbors,2,0.0024009603841536613,17
Statistical Learning,2,0.0024009603841536613,8
Knowledge Representation,2,0.0024009603841536613,30
Bayesian Inference,1,0.0012004801920768306,0
Voice Recognition,1,0.0012004801920768306,15
Search Algorithm,1,0.0012004801920768306,33
Dynamic Programming,1,0.0012004801920768306,5
Data Storage,1,0.0012004801920768306,5
Cyber Infrastructure,1,0.0012004801920768306,10
Optimization Algorithm,1,0.0012004801920768306,24
Meta Learning,1,0.0012004801920768306,7
Generative Adversarial Network,1,0.0012004801920768306,0
Sentiment Analysis,1,0.0012004801920768306,0
Unsupervised Learning,1,0.0012004801920768306,42
Data Science,1,0.0012004801920768306,0
Fog Computing,1,0.0012004801920768306,3
RDBMS & SQL,1,0.0012004801920768306,13
Markov,1,0.0012004801920768306,4
Boosting,1,0.0012004801920768306,17
Unmanned Vehicle,1,0.0012004801920768306,49
