topic,count,proportion,citations
Quantum Computing,287,0.7121588089330024,8740
Machine Learning,31,0.07692307692307693,972
Monte Carlo,18,0.04466501240694789,204
Database,9,0.022332506203473945,195
Classification,9,0.022332506203473945,181
Deep Learning,5,0.01240694789081886,45
Convolutional Networks,5,0.01240694789081886,19
Data Mining,4,0.009925558312655087,147
Genetic Algorithm,3,0.007444168734491315,80
Boltzmann Machine,3,0.007444168734491315,5
SVM,3,0.007444168734491315,5
Data Storage,3,0.007444168734491315,118
Supercomputers,2,0.004962779156327543,34
Information Retrieval,2,0.004962779156327543,28
Feature Extraction,2,0.004962779156327543,13
Manipulator,2,0.004962779156327543,22
Image Recognition,1,0.0024813895781637717,0
Pattern Recognition,1,0.0024813895781637717,56
Bayesian Inference,1,0.0024813895781637717,3
Optical Computing,1,0.0024813895781637717,0
Autoencoder,1,0.0024813895781637717,0
Generative Adversarial Network,1,0.0024813895781637717,70
Unsupervised Learning,1,0.0024813895781637717,13
Supervised Learning,1,0.0024813895781637717,5
Feature Engineering,1,0.0024813895781637717,13
RNN,1,0.0024813895781637717,5
Regression,1,0.0024813895781637717,49
Multi-layer perceptron,1,0.0024813895781637717,52
Back-propagation,1,0.0024813895781637717,10
Dimensionality Reduction,1,0.0024813895781637717,70
UAM,1,0.0024813895781637717,12
