topic,count,proportion,citations
Classification,141,0.12,3075
AI,133,0.11319148936170213,600
Machine Learning,122,0.10382978723404256,1538
Data Mining,101,0.08595744680851064,1491
Knowledge Representation,51,0.04340425531914894,568
Clustering,48,0.04085106382978723,597
Information Retrieval,42,0.03574468085106383,785
Big Data,40,0.03404255319148936,750
NLP,40,0.03404255319148936,396
Regression,30,0.02553191489361702,352
Expert System,26,0.022127659574468085,282
Database,24,0.020425531914893616,681
SVM,24,0.020425531914893616,292
Robots,23,0.01957446808510638,167
Sentiment Analysis,21,0.017872340425531916,465
Pattern Recognition,20,0.01702127659574468,150
BD & Cloud Solutions,19,0.016170212765957447,201
Deep Learning,19,0.016170212765957447,34
Genetic Algorithm,18,0.015319148936170212,261
Supervised Learning,15,0.01276595744680851,189
Trees,14,0.011914893617021277,130
Robotics,14,0.011914893617021277,95
Feature Extraction,14,0.011914893617021277,435
Reinforcement Learning,12,0.010212765957446808,81
Object Recognition,11,0.009361702127659575,89
Unsupervised Learning,10,0.00851063829787234,177
Convolutional Networks,10,0.00851063829787234,22
Image Segmentation,9,0.007659574468085106,127
Semi Supervised Learning,9,0.007659574468085106,22
Mobile Robots,9,0.007659574468085106,103
RNN,8,0.006808510638297872,8
Voice Recognition,7,0.005957446808510639,31
Language Modeling,6,0.005106382978723404,23
Computer Vision,6,0.005106382978723404,67
Text Classification,5,0.00425531914893617,39
Image Classification,4,0.003404255319148936,19
Distributed Computing,4,0.003404255319148936,95
Clouds,4,0.003404255319148936,171
Markov,4,0.003404255319148936,12
Statistical Learning,3,0.002553191489361702,6
Monte Carlo,3,0.002553191489361702,39
Meta Learning,3,0.002553191489361702,40
Grid Computing,3,0.002553191489361702,70
Loss Function,3,0.002553191489361702,2
Transfer Learning,3,0.002553191489361702,2
Autoencoder,3,0.002553191489361702,0
Data Science,3,0.002553191489361702,7
Entity Recognition,3,0.002553191489361702,39
Machine Translation,2,0.001702127659574468,19
Manipulator,2,0.001702127659574468,19
Semantic Search,2,0.001702127659574468,41
Optimization Algorithm,2,0.001702127659574468,1
Dimensionality Reduction,2,0.001702127659574468,52
Search Algorithm,2,0.001702127659574468,35
Back-propagation,2,0.001702127659574468,36
Feature Engineering,2,0.001702127659574468,2
Image Recognition,1,0.000851063829787234,0
Quantum Computing,1,0.000851063829787234,35
Auto Encoder,1,0.000851063829787234,2
Data Center,1,0.000851063829787234,0
Transformers & Attention,1,0.000851063829787234,1
Ensemble Modeling,1,0.000851063829787234,8
Bayesian Inference,1,0.000851063829787234,11
AUV,1,0.000851063829787234,0
Text Embedding,1,0.000851063829787234,2
Industry 4 0,1,0.000851063829787234,0
Nearest Neighbors,1,0.000851063829787234,3
Multi-layer perceptron,1,0.000851063829787234,40
NRDBMS & NoSQL,1,0.000851063829787234,11
Humanoid Robots,1,0.000851063829787234,2
RDBMS & SQL,1,0.000851063829787234,95
