topic,count,proportion,citations
Robots,216,0.3673469387755102,663
AUV,86,0.14625850340136054,207
Robotics,76,0.1292517006802721,277
Mobile Robots,75,0.12755102040816327,237
Manipulator,34,0.05782312925170068,83
UAM,16,0.027210884353741496,37
Data Center,9,0.015306122448979591,13
Classification,6,0.01020408163265306,15
Feature Extraction,4,0.006802721088435374,7
Genetic Algorithm,4,0.006802721088435374,22
Unmanned Vehicle,4,0.006802721088435374,21
Monte Carlo,4,0.006802721088435374,2
Regression,4,0.006802721088435374,2
Data Storage,3,0.00510204081632653,2
Big Data,3,0.00510204081632653,1
Clustering,3,0.00510204081632653,8
Dynamic Programming,3,0.00510204081632653,5
Information Retrieval,3,0.00510204081632653,4
Humanoid Robots,3,0.00510204081632653,10
Markov,2,0.003401360544217687,0
SVM,2,0.003401360544217687,4
Search Algorithm,2,0.003401360544217687,26
Database,2,0.003401360544217687,17
Clouds,2,0.003401360544217687,8
High Performance Computing,2,0.003401360544217687,1
AI,2,0.003401360544217687,16
Pattern Recognition,2,0.003401360544217687,9
Pose Estimation,2,0.003401360544217687,4
Object Recognition,2,0.003401360544217687,6
Expert System,2,0.003401360544217687,2
Reinforcement Learning,1,0.0017006802721088435,5
Image Segmentation,1,0.0017006802721088435,0
Dimensionality Reduction,1,0.0017006802721088435,1
RNN,1,0.0017006802721088435,5
Autoencoder,1,0.0017006802721088435,1
Automated Reasoning,1,0.0017006802721088435,0
NLP,1,0.0017006802721088435,2
GPU,1,0.0017006802721088435,2
3D Print,1,0.0017006802721088435,15
Parallel Processing,1,0.0017006802721088435,1
