topic,count,proportion,citations
Machine Learning,126,0.15254237288135594,22496
Classification,104,0.12590799031476999,12860
Regression,68,0.08232445520581114,7408
SVM,57,0.06900726392251816,4601
Reinforcement Learning,50,0.06053268765133172,1240
Supervised Learning,38,0.04600484261501211,12522
Clustering,27,0.03268765133171913,1751
Markov,22,0.026634382566585957,447
Deep Learning,19,0.023002421307506054,130
Unsupervised Learning,18,0.021791767554479417,9834
Statistical Learning,18,0.021791767554479417,535
Data Mining,17,0.020581113801452784,1105
RNN,14,0.01694915254237288,382
Pattern Recognition,14,0.01694915254237288,702
Robots,13,0.015738498789346248,240
Semi Supervised Learning,12,0.014527845036319613,813
Big Data,10,0.012106537530266344,103
Kernel Machine,10,0.012106537530266344,321
Loss Function,10,0.012106537530266344,242
Bayesian Inference,9,0.010895883777239709,47
NLP,9,0.010895883777239709,1068
Computer Vision,8,0.009685230024213076,133
Optimization Algorithm,8,0.009685230024213076,1010
Transfer Learning,8,0.009685230024213076,172
Monte Carlo,7,0.00847457627118644,57
Trees,7,0.00847457627118644,1293
Object Recognition,7,0.00847457627118644,117
Robotics,7,0.00847457627118644,30
Loss Functions,7,0.00847457627118644,146
Database,6,0.007263922518159807,226
Voice Recognition,6,0.007263922518159807,116
Information Retrieval,6,0.007263922518159807,1116
Dynamic Programming,5,0.006053268765133172,147
Dimensionality Reduction,5,0.006053268765133172,2386
Feature Extraction,4,0.004842615012106538,854
Distributed Computing,4,0.004842615012106538,273
Multi-layer perceptron,4,0.004842615012106538,845
Genetic Algorithm,4,0.004842615012106538,204
Gesture Recognition,4,0.004842615012106538,93
Convolutional Networks,4,0.004842615012106538,128
BD & Cloud Solutions,4,0.004842615012106538,10
Search Algorithm,4,0.004842615012106538,55
GPU,3,0.0036319612590799033,75
Face Detection,3,0.0036319612590799033,77
Back-propagation,3,0.0036319612590799033,119
Meta Learning,3,0.0036319612590799033,20
Machine Translation,3,0.0036319612590799033,16
Text Classification,3,0.0036319612590799033,206
Boltzmann Machine,3,0.0036319612590799033,66
Topic Modeling,2,0.002421307506053269,2
Feature Engineering,2,0.002421307506053269,16
Image Classification,2,0.002421307506053269,2
Sentiment Analysis,2,0.002421307506053269,79
Quantum Computing,2,0.002421307506053269,4
Optical Computing,1,0.0012106537530266344,19
High Performance Computing,1,0.0012106537530266344,125
Boosting,1,0.0012106537530266344,1
Auto Encoder,1,0.0012106537530266344,0
Humanoid Robots,1,0.0012106537530266344,47
Language Modeling,1,0.0012106537530266344,2
Manipulator,1,0.0012106537530266344,1
AI,1,0.0012106537530266344,1
Autoencoder,1,0.0012106537530266344,4
Audio Classification,1,0.0012106537530266344,4
Image Recognition,1,0.0012106537530266344,12
