topic,count,proportion,citations
Robots,59,0.13258426966292136,536
Object Recognition,49,0.1101123595505618,676
Reinforcement Learning,38,0.0853932584269663,519
Robotics,38,0.0853932584269663,496
Machine Learning,26,0.058426966292134834,127
Statistical Learning,25,0.056179775280898875,334
Voice Recognition,23,0.051685393258426963,155
Regression,19,0.04269662921348315,142
Classification,17,0.038202247191011236,152
Big Data,13,0.029213483146067417,89
AI,13,0.029213483146067417,68
Deep Learning,12,0.02696629213483146,117
Database,11,0.024719101123595506,110
Humanoid Robots,11,0.024719101123595506,67
Computer Vision,8,0.017977528089887642,51
Feature Extraction,7,0.015730337078651686,224
Information Retrieval,6,0.01348314606741573,17
Data Mining,6,0.01348314606741573,9
Unsupervised Learning,5,0.011235955056179775,61
Dimensionality Reduction,5,0.011235955056179775,50
Pattern Recognition,5,0.011235955056179775,95
Clustering,3,0.006741573033707865,10
Convolutional Networks,3,0.006741573033707865,43
RNN,3,0.006741573033707865,48
Bayesian Inference,2,0.0044943820224719105,15
Transfer Learning,2,0.0044943820224719105,81
Sentiment Analysis,2,0.0044943820224719105,17
Face Detection,2,0.0044943820224719105,77
Trees,2,0.0044943820224719105,25
Industry 4 0,2,0.0044943820224719105,8
Quantum Computing,2,0.0044943820224719105,5
Knowledge Representation,2,0.0044943820224719105,8
Parallel Processing,2,0.0044943820224719105,16
Chatbot,2,0.0044943820224719105,17
3D Print,2,0.0044943820224719105,8
SVM,2,0.0044943820224719105,2
Image Classification,1,0.0022471910112359553,38
NLP,1,0.0022471910112359553,0
Gesture Recognition,1,0.0022471910112359553,0
UGV,1,0.0022471910112359553,0
Machine Translation,1,0.0022471910112359553,10
Meta Learning,1,0.0022471910112359553,7
UAM,1,0.0022471910112359553,4
Multi-layer perceptron,1,0.0022471910112359553,3
Supervised Learning,1,0.0022471910112359553,1
AWS,1,0.0022471910112359553,6
Clouds,1,0.0022471910112359553,78
Genetic Algorithm,1,0.0022471910112359553,13
Image Segmentation,1,0.0022471910112359553,0
Markov,1,0.0022471910112359553,8
High Performance Computing,1,0.0022471910112359553,14
Mobile Robots,1,0.0022471910112359553,3
