topic,count,proportion,citations
Robots,267,0.4494949494949495,2490
Robotics,109,0.1835016835016835,1149
Manipulator,42,0.0707070707070707,397
Humanoid Robots,33,0.05555555555555555,308
Mobile Robots,30,0.050505050505050504,381
Classification,11,0.018518518518518517,99
Pose Estimation,11,0.018518518518518517,252
UAM,11,0.018518518518518517,162
AUV,11,0.018518518518518517,98
Object Recognition,9,0.015151515151515152,178
Reinforcement Learning,8,0.013468013468013467,52
Feature Extraction,6,0.010101010101010102,749
Clustering,5,0.008417508417508417,94
SVM,5,0.008417508417508417,12
Regression,4,0.006734006734006734,20
Machine Learning,3,0.005050505050505051,6
Monte Carlo,3,0.005050505050505051,17
Convolutional Networks,3,0.005050505050505051,9
Computer Vision,3,0.005050505050505051,33
Optimization Algorithm,3,0.005050505050505051,21
UGV,2,0.003367003367003367,26
Markov,2,0.003367003367003367,32
Knowledge Representation,1,0.0016835016835016834,0
Hardware Acceleration,1,0.0016835016835016834,12
Parallel Processing,1,0.0016835016835016834,15
GPU,1,0.0016835016835016834,15
Search Algorithm,1,0.0016835016835016834,22
Audio Classification,1,0.0016835016835016834,13
Unsupervised Learning,1,0.0016835016835016834,4
Gesture Recognition,1,0.0016835016835016834,9
AI,1,0.0016835016835016834,3
Dimensionality Reduction,1,0.0016835016835016834,3
Dynamic Programming,1,0.0016835016835016834,47
Back-propagation,1,0.0016835016835016834,2
Unmanned Vehicle,1,0.0016835016835016834,1
