topic,count,proportion,citations
Robotics,71,0.14699792960662525,1630
Machine Learning,57,0.11801242236024845,523
Classification,57,0.11801242236024845,1102
Database,33,0.06832298136645963,678
Data Center,32,0.06625258799171843,2995
Trees,19,0.039337474120082816,145
Object Recognition,18,0.037267080745341616,1031
Clustering,17,0.035196687370600416,245
Pattern Recognition,14,0.028985507246376812,410
Data Mining,14,0.028985507246376812,216
SVM,13,0.026915113871635612,79
Regression,12,0.024844720496894408,183
Convolutional Networks,12,0.024844720496894408,28
Monte Carlo,11,0.022774327122153208,549
Deep Learning,11,0.022774327122153208,56
Big Data,10,0.020703933747412008,84
Dimensionality Reduction,9,0.018633540372670808,158
Multi-layer perceptron,8,0.016563146997929608,212
Feature Extraction,7,0.014492753623188406,200
Image Segmentation,7,0.014492753623188406,207
Supercomputers,7,0.014492753623188406,419
Supervised Learning,6,0.012422360248447204,62
Markov,5,0.010351966873706004,47
Unsupervised Learning,4,0.008281573498964804,12
Nearest Neighbors,4,0.008281573498964804,27
High Performance Computing,4,0.008281573498964804,143
Bayesian Inference,3,0.006211180124223602,13
Data Science,2,0.004140786749482402,2
Information Retrieval,2,0.004140786749482402,67
GPU,1,0.002070393374741201,6
UAM,1,0.002070393374741201,6
BD & Cloud Solutions,1,0.002070393374741201,78
Quantum Computing,1,0.002070393374741201,15
Clouds,1,0.002070393374741201,12
Dynamic Cloud,1,0.002070393374741201,1
Docker,1,0.002070393374741201,2
Image Recognition,1,0.002070393374741201,24
Boosting,1,0.002070393374741201,0
Statistical Learning,1,0.002070393374741201,4
AI,1,0.002070393374741201,6
Computer Vision,1,0.002070393374741201,138
Robots,1,0.002070393374741201,8
Manipulator,1,0.002070393374741201,5
