topic,count,proportion,citations
Classification,349,0.13558663558663558,7058
Machine Learning,246,0.09557109557109557,3461
SVM,175,0.06798756798756798,3351
Multi-layer perceptron,109,0.042346542346542344,2251
Regression,108,0.04195804195804196,3123
Robots,108,0.04195804195804196,1510
Convolutional Networks,92,0.035742035742035744,440
RNN,88,0.03418803418803419,885
Feature Extraction,86,0.03341103341103341,1706
Clustering,70,0.027195027195027196,1044
Pattern Recognition,69,0.026806526806526808,1077
Robotics,68,0.02641802641802642,679
Deep Learning,64,0.024864024864024864,860
Genetic Algorithm,56,0.021756021756021756,853
Reinforcement Learning,54,0.02097902097902098,767
Back-propagation,53,0.020590520590520592,1694
Data Mining,46,0.017871017871017872,929
Database,45,0.017482517482517484,860
Supervised Learning,44,0.017094017094017096,1685
Computer Vision,44,0.017094017094017096,1050
Unsupervised Learning,43,0.016705516705516704,526
Object Recognition,43,0.016705516705516704,739
AI,41,0.015928515928515928,819
Image Segmentation,38,0.014763014763014764,585
Big Data,31,0.012043512043512044,507
Dimensionality Reduction,28,0.010878010878010878,733
Semi Supervised Learning,24,0.009324009324009324,449
Trees,23,0.008935508935508936,203
Voice Recognition,23,0.008935508935508936,366
Mobile Robots,22,0.008547008547008548,465
Image Classification,22,0.008547008547008548,605
Transfer Learning,14,0.005439005439005439,97
UAM,12,0.004662004662004662,34
NLP,12,0.004662004662004662,121
Optimization Algorithm,12,0.004662004662004662,280
Information Retrieval,10,0.003885003885003885,190
Pose Estimation,9,0.0034965034965034965,420
Language Modeling,9,0.0034965034965034965,78
Loss Function,9,0.0034965034965034965,131
Autoencoder,8,0.003108003108003108,29
Image Recognition,8,0.003108003108003108,60
Manipulator,8,0.003108003108003108,111
Humanoid Robots,7,0.0027195027195027195,32
Statistical Learning,7,0.0027195027195027195,83
Knowledge Representation,7,0.0027195027195027195,109
Gesture Recognition,7,0.0027195027195027195,152
Generative Adversarial Network,6,0.002331002331002331,1
Distributed Computing,6,0.002331002331002331,89
Meta Learning,6,0.002331002331002331,141
Kernel Machine,6,0.002331002331002331,117
Nearest Neighbors,6,0.002331002331002331,41
Expert System,6,0.002331002331002331,147
Search Algorithm,6,0.002331002331002331,100
Markov,6,0.002331002331002331,36
Sentiment Analysis,5,0.0019425019425019425,108
BD & Cloud Solutions,5,0.0019425019425019425,121
Monte Carlo,5,0.0019425019425019425,43
AUV,5,0.0019425019425019425,57
Parallel Processing,4,0.001554001554001554,58
Text Classification,4,0.001554001554001554,61
Bayesian Inference,4,0.001554001554001554,13
Dynamic Programming,4,0.001554001554001554,159
Boltzmann Machine,3,0.0011655011655011655,120
Transformers & Attention,3,0.0011655011655011655,6
GPU,3,0.0011655011655011655,132
Clouds,3,0.0011655011655011655,7
Encoder Decoder,3,0.0011655011655011655,10
Boosting,3,0.0011655011655011655,59
Feature Engineering,3,0.0011655011655011655,52
Face Detection,2,0.000777000777000777,37
Data Science,2,0.000777000777000777,18
Hardware Acceleration,2,0.000777000777000777,31
Neuromorphic Computing,2,0.000777000777000777,13
Machine Translation,1,0.0003885003885003885,7
Ensemble Modeling,1,0.0003885003885003885,119
Automated Reasoning,1,0.0003885003885003885,5
Quantum Computing,1,0.0003885003885003885,17
UGV,1,0.0003885003885003885,0
Industry 4 0,1,0.0003885003885003885,0
Loss Functions,1,0.0003885003885003885,10
Unmanned Vehicle,1,0.0003885003885003885,0
Data Storage,1,0.0003885003885003885,14
High Performance Computing,1,0.0003885003885003885,119
