topic,count,proportion,citations
Machine Learning,215,0.08444619010212097,792
Deep Learning,197,0.07737627651217596,566
Classification,184,0.07227022780832679,887
Convolutional Networks,178,0.06991358994501179,287
Big Data,144,0.056559308719560095,1146
Clouds,120,0.04713275726630008,1438
Robots,100,0.03927729772191673,637
UAM,85,0.03338570306362922,255
AI,79,0.031029065200314218,200
Feature Extraction,68,0.02670856245090338,313
SVM,68,0.02670856245090338,363
Robotics,62,0.024351924587588374,316
RNN,54,0.021209740769835034,90
Data Mining,53,0.020816967792615867,484
Edge Computing,53,0.020816967792615867,864
Clustering,50,0.019638648860958365,217
Database,49,0.0192458758837392,247
Computer Vision,47,0.018460329929300863,130
Regression,44,0.01728201099764336,394
Fog Computing,37,0.014532600157109192,479
Data Center,36,0.014139827179890024,389
Reinforcement Learning,35,0.013747054202670856,139
Trees,33,0.012961508248232521,46
Industry 4 0,32,0.012568735271013355,353
Genetic Algorithm,32,0.012568735271013355,101
Object Recognition,20,0.007855459544383346,38
Image Classification,20,0.007855459544383346,108
BD & Cloud Solutions,18,0.007069913589945012,44
Manipulator,17,0.006677140612725845,85
Generative Adversarial Network,17,0.006677140612725845,7
Multi-layer perceptron,17,0.006677140612725845,71
Supervised Learning,17,0.006677140612725845,351
Mobile Robots,16,0.006284367635506678,71
Dimensionality Reduction,16,0.006284367635506678,321
NLP,15,0.00589159465828751,11
Markov,13,0.005106048703849175,22
AUV,13,0.005106048703849175,74
3D Print,13,0.005106048703849175,14
Monte Carlo,13,0.005106048703849175,49
Transfer Learning,12,0.004713275726630008,69
Unsupervised Learning,12,0.004713275726630008,212
Pattern Recognition,12,0.004713275726630008,297
UGV,12,0.004713275726630008,24
Autoencoder,12,0.004713275726630008,28
Sentiment Analysis,11,0.00432050274941084,47
Image Segmentation,9,0.003534956794972506,21
High Performance Computing,9,0.003534956794972506,111
Data Storage,9,0.003534956794972506,77
Information Retrieval,8,0.003142183817753339,65
Voice Recognition,8,0.003142183817753339,154
Gesture Recognition,8,0.003142183817753339,0
Back-propagation,8,0.003142183817753339,26
Pose Estimation,7,0.0027494108405341712,21
Data Science,7,0.0027494108405341712,8
Distributed Computing,7,0.0027494108405341712,35
Search Algorithm,6,0.002356637863315004,24
Loss Function,6,0.002356637863315004,26
Semi Supervised Learning,6,0.002356637863315004,211
Expert System,5,0.0019638648860958365,8
Knowledge Representation,5,0.0019638648860958365,69
Boosting,4,0.0015710919088766694,1
Docker,4,0.0015710919088766694,54
Optimization Algorithm,4,0.0015710919088766694,23
RDBMS & SQL,4,0.0015710919088766694,6
Hardware Acceleration,4,0.0015710919088766694,0
Feature Engineering,4,0.0015710919088766694,77
Meta Learning,4,0.0015710919088766694,14
Supercomputers,3,0.001178318931657502,7
Quantum Computing,3,0.001178318931657502,53
Fully Connected Layer,3,0.001178318931657502,15
NRDBMS & NoSQL,3,0.001178318931657502,4
Humanoid Robots,3,0.001178318931657502,21
Dynamic Programming,3,0.001178318931657502,17
Image Recognition,3,0.001178318931657502,14
Transformers & Attention,3,0.001178318931657502,4
Statistical Learning,3,0.001178318931657502,17
GPU,2,0.0007855459544383347,0
Face Detection,2,0.0007855459544383347,1
Bayesian Inference,2,0.0007855459544383347,2
IaaS,2,0.0007855459544383347,2
Encoder Decoder,2,0.0007855459544383347,1
Cluster Computing,2,0.0007855459544383347,8
Neuromorphic Computing,2,0.0007855459544383347,2
Unmanned Vehicle,2,0.0007855459544383347,0
Parallel Processing,2,0.0007855459544383347,2
Text Classification,1,0.00039277297721916735,1
Text Embedding,1,0.00039277297721916735,3
Audio Classification,1,0.00039277297721916735,7
SaaS,1,0.00039277297721916735,1
PaaS,1,0.00039277297721916735,1
Text To Image,1,0.00039277297721916735,1
Boltzmann Machine,1,0.00039277297721916735,1
Ensemble Modeling,1,0.00039277297721916735,1
Entity Recognition,1,0.00039277297721916735,0
Dynamic Cloud,1,0.00039277297721916735,0
Language Modeling,1,0.00039277297721916735,0
Tensor Processing Unit,1,0.00039277297721916735,0
Auto Encoder,1,0.00039277297721916735,0
Machine Translation,1,0.00039277297721916735,11
