topic,count,proportion,citations
Classification,283,0.15338753387533877,6921
Pattern Recognition,190,0.10298102981029811,4912
Feature Extraction,95,0.051490514905149054,2201
Machine Learning,89,0.048238482384823846,1529
Object Recognition,89,0.048238482384823846,2252
SVM,83,0.044986449864498644,1227
Computer Vision,83,0.044986449864498644,2477
Database,77,0.04173441734417344,2885
Convolutional Networks,75,0.04065040650406504,297
Clustering,70,0.037940379403794036,1298
Image Segmentation,68,0.03685636856368564,2009
Deep Learning,51,0.027642276422764227,555
Robots,44,0.023848238482384824,459
Regression,38,0.020596205962059622,449
Image Classification,36,0.01951219512195122,890
Supervised Learning,29,0.015718157181571817,634
Voice Recognition,22,0.011924119241192412,258
RNN,21,0.011382113821138212,111
Genetic Algorithm,21,0.011382113821138212,426
AI,20,0.01084010840108401,229
Unsupervised Learning,20,0.01084010840108401,370
Dimensionality Reduction,20,0.01084010840108401,720
Semi Supervised Learning,19,0.010298102981029811,257
Robotics,19,0.010298102981029811,209
Multi-layer perceptron,18,0.00975609756097561,217
Data Mining,17,0.00921409214092141,288
Face Detection,16,0.008672086720867209,457
Trees,16,0.008672086720867209,197
Information Retrieval,16,0.008672086720867209,785
Gesture Recognition,14,0.007588075880758808,202
Nearest Neighbors,13,0.007046070460704607,276
Transfer Learning,13,0.007046070460704607,44
Pose Estimation,13,0.007046070460704607,171
Search Algorithm,12,0.0065040650406504065,107
Statistical Learning,10,0.005420054200542005,132
Loss Function,9,0.004878048780487805,88
Machine Translation,8,0.004336043360433604,25
Knowledge Representation,6,0.0032520325203252032,36
Humanoid Robots,6,0.0032520325203252032,20
Big Data,6,0.0032520325203252032,77
Reinforcement Learning,6,0.0032520325203252032,35
NLP,6,0.0032520325203252032,57
Boosting,5,0.0027100271002710027,83
Optimization Algorithm,5,0.0027100271002710027,26
Image Recognition,4,0.002168021680216802,76
Markov,4,0.002168021680216802,50
Dynamic Programming,4,0.002168021680216802,312
Text Classification,4,0.002168021680216802,105
UAM,4,0.002168021680216802,13
Generative Adversarial Network,4,0.002168021680216802,2
Data Center,3,0.0016260162601626016,9
Language Modeling,3,0.0016260162601626016,6
Expert System,3,0.0016260162601626016,38
BD & Cloud Solutions,3,0.0016260162601626016,20
AUV,3,0.0016260162601626016,20
Back-propagation,3,0.0016260162601626016,62
Mobile Robots,3,0.0016260162601626016,26
Fully Connected Layer,3,0.0016260162601626016,47
Monte Carlo,2,0.001084010840108401,11
Autoencoder,2,0.001084010840108401,5
Meta Learning,2,0.001084010840108401,27
Grid Computing,1,0.0005420054200542005,9
Clouds,1,0.0005420054200542005,9
Ensemble Modeling,1,0.0005420054200542005,27
UGV,1,0.0005420054200542005,44
GPU,1,0.0005420054200542005,23
Loss Functions,1,0.0005420054200542005,1
Topic Modeling,1,0.0005420054200542005,0
Encoder Decoder,1,0.0005420054200542005,0
Parallel Processing,1,0.0005420054200542005,24
Supercomputers,1,0.0005420054200542005,0
Transformers & Attention,1,0.0005420054200542005,36
Bayesian Inference,1,0.0005420054200542005,13
Audio Classification,1,0.0005420054200542005,34
Manipulator,1,0.0005420054200542005,3
