topic,count,proportion,citations
Data Center,496,0.21169440887750746,889
Big Data,419,0.17883055911224927,945
BD & Cloud Solutions,184,0.078531796841656,211
AI,131,0.055911224925309436,269
Machine Learning,126,0.05377720870678617,251
Clouds,102,0.04353393085787452,244
Classification,83,0.035424669227486126,258
Deep Learning,70,0.02987622705932565,262
Database,66,0.028169014084507043,82
Convolutional Networks,45,0.019206145966709345,105
Clustering,39,0.016645326504481434,62
Edge Computing,39,0.016645326504481434,206
Regression,35,0.014938113529662825,55
High Performance Computing,27,0.011523687580025609,40
Data Mining,26,0.011096884336320957,32
Robotics,24,0.010243277848911651,12
Distributed Computing,23,0.009816474605207,62
SVM,20,0.008536064874093044,22
Fog Computing,19,0.00810926163038839,93
Trees,17,0.007255655142979087,37
RNN,17,0.007255655142979087,17
Data Storage,16,0.006828851899274435,33
Feature Extraction,16,0.006828851899274435,76
Reinforcement Learning,15,0.006402048655569782,27
UAM,13,0.005548442168160478,27
NLP,13,0.005548442168160478,9
Robots,13,0.005548442168160478,69
Industry 4 0,12,0.005121638924455826,27
3D Print,12,0.005121638924455826,0
Computer Vision,11,0.004694835680751174,46
Data Science,10,0.004268032437046522,11
Genetic Algorithm,10,0.004268032437046522,17
Docker,10,0.004268032437046522,10
RDBMS & SQL,9,0.0038412291933418692,11
Image Classification,9,0.0038412291933418692,24
Object Recognition,8,0.0034144259496372174,48
Multi-layer perceptron,8,0.0034144259496372174,15
Supervised Learning,7,0.002987622705932565,12
Supercomputers,7,0.002987622705932565,2
Hardware Acceleration,6,0.002560819462227913,7
Transfer Learning,6,0.002560819462227913,63
Unsupervised Learning,6,0.002560819462227913,15
Feature Engineering,6,0.002560819462227913,17
NRDBMS & NoSQL,6,0.002560819462227913,7
Search Algorithm,6,0.002560819462227913,6
Dimensionality Reduction,5,0.002134016218523261,4
Optimization Algorithm,5,0.002134016218523261,7
Sentiment Analysis,5,0.002134016218523261,7
Generative Adversarial Network,5,0.002134016218523261,1
Pose Estimation,4,0.0017072129748186087,6
Parallel Processing,4,0.0017072129748186087,7
Information Retrieval,4,0.0017072129748186087,23
Distributed File System,4,0.0017072129748186087,7
AWS,4,0.0017072129748186087,3
Monte Carlo,4,0.0017072129748186087,7
Pattern Recognition,4,0.0017072129748186087,5
Cluster Computing,4,0.0017072129748186087,13
Markov,4,0.0017072129748186087,5
IaaS,3,0.0012804097311139564,9
UGV,3,0.0012804097311139564,2
Image Segmentation,3,0.0012804097311139564,6
Autoencoder,2,0.0008536064874093043,4
Bayesian Inference,2,0.0008536064874093043,0
SaaS,2,0.0008536064874093043,4
Machine Translation,2,0.0008536064874093043,11
Multiprocessing,2,0.0008536064874093043,4
Auto Encoder,2,0.0008536064874093043,12
Transformers & Attention,2,0.0008536064874093043,11
Grid Computing,2,0.0008536064874093043,1
Back-propagation,2,0.0008536064874093043,7
Dynamic Programming,1,0.0004268032437046522,0
Text Embedding,1,0.0004268032437046522,0
Encoder Decoder,1,0.0004268032437046522,0
Statistical Learning,1,0.0004268032437046522,1
PaaS,1,0.0004268032437046522,0
Image To Text,1,0.0004268032437046522,0
Text To Image,1,0.0004268032437046522,0
Text Classification,1,0.0004268032437046522,1
Fully Connected Layer,1,0.0004268032437046522,0
Loss Function,1,0.0004268032437046522,0
Semi Supervised Learning,1,0.0004268032437046522,0
Decentralized Computing,1,0.0004268032437046522,0
Language Modeling,1,0.0004268032437046522,0
Boosting,1,0.0004268032437046522,0
Meta Learning,1,0.0004268032437046522,0
GPU,1,0.0004268032437046522,7
Unmanned Vehicle,1,0.0004268032437046522,2
