topic,count,proportion
Robots,931,0.2392086330935252
3D Print,624,0.16032887975334018
UAM,355,0.09121274409044193
Robotics,296,0.07605344295991778
Machine Learning,224,0.05755395683453238
Manipulator,160,0.041109969167523124
Object Recognition,150,0.03854059609455293
UGV,113,0.029033915724563205
Data Center,111,0.02852004110996917
Clouds,80,0.020554984583761562
AI,75,0.019270298047276466
Database,68,0.017471736896197326
Mobile Robots,67,0.01721479958890031
Voice Recognition,55,0.014131551901336074
Deep Learning,52,0.013360739979445015
Classification,40,0.010277492291880781
Hardware Acceleration,30,0.007708119218910586
Image Recognition,28,0.007194244604316547
NLP,27,0.006937307297019527
Big Data,26,0.006680369989722507
Feature Extraction,25,0.006423432682425488
Unmanned Vehicle,24,0.006166495375128468
Computer Vision,23,0.005909558067831449
Image Segmentation,22,0.005652620760534429
Convolutional Networks,21,0.00539568345323741
Pose Estimation,20,0.0051387461459403904
Supervised Learning,18,0.0046248715313463515
Humanoid Robots,16,0.0041109969167523125
Information Retrieval,13,0.0033401849948612537
Pattern Recognition,12,0.003083247687564234
High Performance Computing,11,0.0028263103802672147
Expert System,11,0.0028263103802672147
Data Storage,11,0.0028263103802672147
Clustering,11,0.0028263103802672147
Reinforcement Learning,11,0.0028263103802672147
Data Mining,10,0.0025693730729701952
Machine Translation,10,0.0025693730729701952
Unsupervised Learning,10,0.0025693730729701952
Neuromorphic Computing,9,0.0023124357656731757
Face Detection,8,0.0020554984583761563
Quantum Computing,8,0.0020554984583761563
Chatbot,8,0.0020554984583761563
AUV,6,0.001541623843782117
Edge Computing,6,0.001541623843782117
Regression,5,0.0012846865364850976
Image Classification,5,0.0012846865364850976
Semi Supervised Learning,4,0.0010277492291880781
Language Modeling,4,0.0010277492291880781
Back-propagation,3,0.0007708119218910585
RNN,3,0.0007708119218910585
SVM,3,0.0007708119218910585
Transfer Learning,2,0.0005138746145940391
Transformers & Attention,2,0.0005138746145940391
Supercomputers,2,0.0005138746145940391
Generative Adversarial Network,2,0.0005138746145940391
Auto Encoder,2,0.0005138746145940391
GPU,2,0.0005138746145940391
Dimensionality Reduction,2,0.0005138746145940391
Semantic Search,2,0.0005138746145940391
Statistical Learning,1,0.00025693730729701953
Bayesian Inference,1,0.00025693730729701953
Dynamic Cloud,1,0.00025693730729701953
Fully Connected Layer,1,0.00025693730729701953
Data Science,1,0.00025693730729701953
Fog Computing,1,0.00025693730729701953
Autoencoder,1,0.00025693730729701953
Loss Function,1,0.00025693730729701953
Gesture Recognition,1,0.00025693730729701953
Boltzmann Machine,1,0.00025693730729701953
Topic Modeling,1,0.00025693730729701953
Knowledge Representation,1,0.00025693730729701953
Parallel Processing,1,0.00025693730729701953
